scenario_id,title,ticker,event_date,difficulty,category,option_type,stock_price,strike_price,stock_price_at_expiration,expiration_status,time_to_expiration_months,volatility_percent,risk_free_rate_percent,market_option_price,investment_choices,pre_decision_context,setup,decision_prompt,take_label,skip_label,best_action,post_event_outcome,explanation,lesson,source_name,source_url,simplification_note,quiz_flow,starting_bank,take_confirmation_prompt,skip_bank_effect
11,Broadcom: AI Chip Forecast,AVGO,2024-06-12,Medium,AI infrastructure / earnings,Call,150,160,170.5,In-the-Money,1,45,4.5,3.56,"$500|$1,000|$2,000",Broadcom is reporting earnings while investors are looking for companies benefiting from AI infrastructure. The market is focused on AI-linked chip revenue and management's forecast.,You are considering a short-term call option before the market fully reacts to the AI revenue outlook.,"Your bank starts at $10,000. Run the mini-simulator, compare its estimate with the market option price, then decide whether to take this option or skip it. If you take it, choose how much of your bank to invest.",Take the option,Skip the option,take,Broadcom rallied after raising its AI chip revenue forecast and announcing a stock split.,"This scenario is based on a real market event, but the option inputs and trade return are simplified for learning. AI infrastructure demand can create upside when guidance confirms that demand is turning into revenue.",AI infrastructure demand can create upside when guidance confirms that demand is turning into revenue.,Reuters,https://www.reuters.com/technology/chipmaker-broadcom-raises-annual-revenue-forecast-2024-06-12/,"Event is real; option inputs, market option price, and option return are educational simplifications rather than exact historical option-chain data.",take_or_skip_with_bank,10000,Choose how much of your bank to invest in this option.,0
12,Palantir: AI Software Demand,PLTR,2024-08-05,Medium,AI software / guidance,Call,24,26,30.2,In-the-Money,6,70,3.75,1.08,"$500|$1,000|$2,000",Palantir is reporting results while investors are watching whether AI demand is translating into real business growth. The stock is already volatile because expectations are high.,You are considering a short-term call option before the market prices in new guidance.,"Your bank starts at $10,000. Run the mini-simulator, compare its estimate with the market option price, then decide whether to take this option or skip it. If you take it, choose how much of your bank to invest.",Take the option,Skip the option,take,Palantir shares rose after the company raised its annual revenue forecast on AI strength.,"This scenario is based on a real market event, but the option inputs and trade return are simplified for learning. For software companies, guidance can matter more than the past quarter alone.","For software companies, guidance can matter more than the past quarter alone.",Reuters,https://www.reuters.com/technology/artificial-intelligence/palantir-raises-annual-revenue-forecast-ai-strength-2024-08-05/,"Event is real; option inputs, market option price, and option return are educational simplifications rather than exact historical option-chain data.",take_or_skip_with_bank,10000,Choose how much of your bank to invest in this option.,0
13,Adobe: AI Monetization Doubts,ADBE,2024-03-15,Medium,AI software / growth concern,Put,570,540,520.1,In-the-Money,3,35,4.25,8.82,"$500|$1,000|$2,000","Adobe is investing heavily in generative AI features. Investors like the technology, but they are unsure how quickly those tools will turn into revenue growth.",You are considering a short-term put option before the market fully responds to a cautious forecast.,"Your bank starts at $10,000. Run the mini-simulator, compare its estimate with the market option price, then decide whether to take this option or skip it. If you take it, choose how much of your bank to invest.",Take the option,Skip the option,take,Adobe shares fell as investors worried about competition and delayed AI returns.,"This scenario is based on a real market event, but the option inputs and trade return are simplified for learning. A company can have strong AI products but still disappoint investors if monetization is unclear.",A company can have strong AI products but still disappoint investors if monetization is unclear.,Reuters,https://www.reuters.com/technology/adobe-drops-weak-forecast-fans-worries-about-competition-ai-efforts-2024-03-15/,"Event is real; option inputs, market option price, and option return are educational simplifications rather than exact historical option-chain data.",take_or_skip_with_bank,10000,Choose how much of your bank to invest in this option.,0
14,Apple China Sales: Competitive Pressure,AAPL,2024-03-05,Easy,International demand / competition,Put,174,165,169.58,Out-of-the-Money,1,25,5.0,1.26,"$500|$1,000|$2,000",Reports show Apple's iPhone sales in China have fallen sharply early in the year while Huawei gains share. Investors are debating whether the weakness is temporary or a sign of tougher competition.,You are considering a short-term put option as the market digests the China sales report.,"Your bank starts at $10,000. Run the mini-simulator, compare its estimate with the market option price, then decide whether to take this option or skip it. If you take it, choose how much of your bank to invest.",Take the option,Skip the option,take,Apple faced pressure as investors focused on China weakness and competition from domestic rivals.,"This scenario is based on a real market event, but the option inputs and trade return are simplified for learning. Even very strong companies can face regional demand and competition risks.",Even very strong companies can face regional demand and competition risks.,Reuters,https://www.reuters.com/technology/apples-china-iphone-sales-plunge-24-first-six-weeks-2024-report-says-2024-03-05/,"Event is real; option inputs, market option price, and option return are educational simplifications rather than exact historical option-chain data.",take_or_skip_with_bank,10000,Choose how much of your bank to invest in this option.,0
15,Apple Intelligence: Upgrade Cycle Hopes,AAPL,2024-07-15,Medium,AI product cycle,Call,207,215,221.72,In-the-Money,1,30,5.25,3.84,"$500|$1,000|$2,000","Apple has introduced its Apple Intelligence strategy, and analysts are debating whether AI features could push customers to upgrade iPhones and iPads.",You are considering a short-term call option as the market weighs whether AI can restart Apple's growth story.,"Your bank starts at $10,000. Run the mini-simulator, compare its estimate with the market option price, then decide whether to take this option or skip it. If you take it, choose how much of your bank to invest.",Take the option,Skip the option,take,Apple hit an all-time high after a major analyst called the stock a top pick because of AI-related upgrade potential.,"This scenario is based on a real market event, but the option inputs and trade return are simplified for learning. Product-cycle expectations can move a stock before the financial impact appears in earnings.",Product-cycle expectations can move a stock before the financial impact appears in earnings.,Reuters,https://www.reuters.com/technology/apple-gains-after-morgan-stanley-calls-stock-top-pick-ai-efforts-2024-07-15/,"Event is real; option inputs, market option price, and option return are educational simplifications rather than exact historical option-chain data.",take_or_skip_with_bank,10000,Choose how much of your bank to invest in this option.,0
16,Alphabet and Microsoft: AI Spending Pays Off,GOOGL,2024-04-26,Medium,AI cloud / earnings,Call,156,165,173.96,In-the-Money,1,30,4.0,1.99,"$500|$1,000|$2,000",Alphabet and Microsoft are reporting earnings after months of questions about whether AI spending is producing real revenue growth. Investors are focused on cloud performance and capital returns.,You are considering a short-term Alphabet call option before the market fully reacts.,"Your bank starts at $10,000. Run the mini-simulator, compare its estimate with the market option price, then decide whether to take this option or skip it. If you take it, choose how much of your bank to invest.",Take the option,Skip the option,take,"Alphabet jumped as earnings showed AI investments supporting growth, and investors welcomed a dividend and buyback.","This scenario is based on a real market event, but the option inputs and trade return are simplified for learning. AI spending is rewarded when investors see evidence of revenue growth and shareholder returns.",AI spending is rewarded when investors see evidence of revenue growth and shareholder returns.,Reuters,https://www.reuters.com/technology/alphabet-microsoft-shares-jump-investors-cheer-ai-investment-2024-04-26/,"Event is real; option inputs, market option price, and option return are educational simplifications rather than exact historical option-chain data.",take_or_skip_with_bank,10000,Choose how much of your bank to invest in this option.,0
17,Alphabet: AI Costs and YouTube Slowdown,GOOGL,2024-07-24,Medium,AI spending / margin risk,Put,183,175,165.16,In-the-Money,1,28,3.5,2.17,"$500|$1,000|$2,000","Alphabet has strong AI ambitions, but investors are watching rising infrastructure costs and signs of slowing growth in important advertising areas like YouTube.",You are considering a short-term put option before the market fully digests the margin concerns.,"Your bank starts at $10,000. Run the mini-simulator, compare its estimate with the market option price, then decide whether to take this option or skip it. If you take it, choose how much of your bank to invest.",Take the option,Skip the option,take,Alphabet fell as AI infrastructure costs and YouTube growth concerns overshadowed otherwise solid results.,"This scenario is based on a real market event, but the option inputs and trade return are simplified for learning. Heavy AI investment can be positive or negative depending on whether investors believe the returns justify the cost.",Heavy AI investment can be positive or negative depending on whether investors believe the returns justify the cost.,Reuters,https://www.reuters.com/technology/alphabet-falls-expenses-overshadow-quarterly-results-beat-2024-07-24/,"Event is real; option inputs, market option price, and option return are educational simplifications rather than exact historical option-chain data.",take_or_skip_with_bank,10000,Choose how much of your bank to invest in this option.,0
18,Amazon: AWS and Retail Strength,AMZN,2024-02-01,Medium,Cloud / retail earnings,Call,159,165,180.38,In-the-Money,2,35,4.25,3.57,"$500|$1,000|$2,000","Amazon is reporting earnings while investors watch AWS growth, retail margins, advertising, and spending on generative AI infrastructure.",You are considering a short-term call option before the market reacts to the earnings report.,"Your bank starts at $10,000. Run the mini-simulator, compare its estimate with the market option price, then decide whether to take this option or skip it. If you take it, choose how much of your bank to invest.",Take the option,Skip the option,take,"Amazon rallied as cloud, retail, and advertising strength supported a better outlook.","This scenario is based on a real market event, but the option inputs and trade return are simplified for learning. A company with multiple business lines can rally when several divisions improve at the same time.",A company with multiple business lines can rally when several divisions improve at the same time.,Reuters,https://www.reuters.com/technology/amazon-soars-ai-retail-strength-power-revenue-growth-2024-02-02/,"Event is real; option inputs, market option price, and option return are educational simplifications rather than exact historical option-chain data.",take_or_skip_with_bank,10000,Choose how much of your bank to invest in this option.,0
19,Uber: Bookings Slowdown Risk,UBER,2024-05-08,Medium,Guidance / demand risk,Put,71,68,67.2,In-the-Money,2,40,3.75,1.63,"$500|$1,000|$2,000","Uber has been improving profitability, but investors are focused on whether rideshare and delivery bookings can keep growing fast enough.",You are considering a short-term put option before the market fully reacts to a cautious bookings forecast.,"Your bank starts at $10,000. Run the mini-simulator, compare its estimate with the market option price, then decide whether to take this option or skip it. If you take it, choose how much of your bank to invest.",Take the option,Skip the option,take,Uber shares fell after the company posted a surprise loss and forecast gross bookings below expectations.,"This scenario is based on a real market event, but the option inputs and trade return are simplified for learning. Profitability progress can be overshadowed if the market worries that growth is slowing.",Profitability progress can be overshadowed if the market worries that growth is slowing.,Reuters,https://www.reuters.com/business/autos-transportation/uber-forecasts-gross-bookings-second-quarter-below-expectations-2024-05-08/,"Event is real; option inputs, market option price, and option return are educational simplifications rather than exact historical option-chain data.",take_or_skip_with_bank,10000,Choose how much of your bank to invest in this option.,0
20,Starbucks: Demand Slowdown,SBUX,2024-05-01,Easy,Consumer demand / guidance,Put,88,83,81.36,In-the-Money,1,35,5.25,1.26,"$500|$1,000|$2,000",Starbucks is facing questions about weaker traffic in the U.S. and China. Inflation-weary customers may be cutting back on premium coffee purchases.,You are considering a short-term put option before the market finishes reacting to the lowered outlook.,"Your bank starts at $10,000. Run the mini-simulator, compare its estimate with the market option price, then decide whether to take this option or skip it. If you take it, choose how much of your bank to invest.",Take the option,Skip the option,take,Starbucks fell sharply after cutting annual forecasts due to weak demand in the U.S. and China.,"This scenario is based on a real market event, but the option inputs and trade return are simplified for learning. Consumer-facing companies can fall quickly when customers trade down or visit less often.",Consumer-facing companies can fall quickly when customers trade down or visit less often.,Reuters,https://www.reuters.com/business/retail-consumer/starbucks-shares-tumble-china-us-demand-slowdown-clouds-outlook-2024-05-01/,"Event is real; option inputs, market option price, and option return are educational simplifications rather than exact historical option-chain data.",take_or_skip_with_bank,10000,Choose how much of your bank to invest in this option.,0
21,McDonald's: Food Safety Shock,MCD,2024-10-22,Easy,Food safety / reputational risk,Put,315,300,290.4,In-the-Money,2,25,4.25,2.54,"$500|$1,000|$2,000",Health officials link an E. coli outbreak to McDonald's Quarter Pounder hamburgers in several states. Investors are trying to estimate the reputational and sales impact.,You are considering a short-term put option after the first outbreak report.,"Your bank starts at $10,000. Run the mini-simulator, compare its estimate with the market option price, then decide whether to take this option or skip it. If you take it, choose how much of your bank to invest.",Take the option,Skip the option,take,"McDonald's shares fell after the outbreak news, though the company later worked to contain the damage.","This scenario is based on a real market event, but the option inputs and trade return are simplified for learning. Food safety events can create sudden downside risk, but the impact may depend on how quickly the company responds.","Food safety events can create sudden downside risk, but the impact may depend on how quickly the company responds.",Reuters,https://www.reuters.com/business/retail-consumer/ten-people-hospitalized-e-coli-infections-linked-mcdonalds-quarter-pounder-says-2024-10-22/,"Event is real; option inputs, market option price, and option return are educational simplifications rather than exact historical option-chain data.",take_or_skip_with_bank,10000,Choose how much of your bank to invest in this option.,0
22,Eli Lilly: Weight-Loss Drug Momentum,LLY,2024-04-30,Medium,Healthcare / product demand,Call,740,760,820.15,In-the-Money,1,35,3.75,20.23,"$500|$1,000|$2,000","Eli Lilly is reporting results while investors are focused on demand for diabetes and weight-loss drugs. The stock has already risen, so expectations are high.",You are considering a short-term call option before the market fully reacts to the updated forecast.,"Your bank starts at $10,000. Run the mini-simulator, compare its estimate with the market option price, then decide whether to take this option or skip it. If you take it, choose how much of your bank to invest.",Take the option,Skip the option,take,"Lilly rose after raising its 2024 sales and profit forecasts, helped by strong demand for weight-loss and diabetes treatments.","This scenario is based on a real market event, but the option inputs and trade return are simplified for learning. Product demand can support a higher stock price when it leads management to raise guidance.",Product demand can support a higher stock price when it leads management to raise guidance.,Reuters,https://www.reuters.com/business/healthcare-pharmaceuticals/eli-lilly-beats-profit-estimates-diabetes-weight-loss-drug-strength-2024-04-30/,"Event is real; option inputs, market option price, and option return are educational simplifications rather than exact historical option-chain data.",take_or_skip_with_bank,10000,Choose how much of your bank to invest in this option.,0
23,GameStop Meme Rally: Momentum or Trap?,GME,2024-05-13,Hard,Meme stock / volatility,Call,38,45,28.2,Out-of-the-Money,1,200,4.75,9.55,"$500|$1,000|$2,000","GameStop surges after a major meme-stock figure returns to social media. Trading is extremely volatile, and call options are very expensive because traders expect huge moves.",You are considering buying a short-term out-of-the-money call after the rally has already started.,"Your bank starts at $10,000. Run the mini-simulator, compare its estimate with the market option price, then decide whether to take this option or skip it. If you take it, choose how much of your bank to invest.",Take the option,Skip the option,skip,"The meme-stock rally faded quickly, and late call buyers faced large losses as volatility cooled.","This scenario is based on a real market event, but the option inputs and trade return are simplified for learning. Momentum can be exciting, but buying options after volatility spikes can be dangerous.","Momentum can be exciting, but buying options after volatility spikes can be dangerous.",Reuters,https://www.reuters.com/technology/gamestop-jumps-after-roaring-kitty-returns-following-three-year-hiatus-2024-05-13/,"Event is real; option inputs, market option price, and option return are educational simplifications rather than exact historical option-chain data.",take_or_skip_with_bank,10000,Choose how much of your bank to invest in this option.,0
24,GameStop Share Sale: Dilution Risk,GME,2024-06-07,Hard,Meme stock / dilution risk,Put,46,40,24.6,In-the-Money,1,200,4.75,6.26,"$500|$1,000|$2,000","GameStop is still volatile after renewed meme-stock attention. The company reports lower sales and announces plans to sell additional shares, which could dilute existing shareholders.",You are considering a short-term put option after the share-sale news.,"Your bank starts at $10,000. Run the mini-simulator, compare its estimate with the market option price, then decide whether to take this option or skip it. If you take it, choose how much of your bank to invest.",Take the option,Skip the option,take,GameStop fell sharply as the rally faded and investors reacted to weak sales and dilution concerns.,"This scenario is based on a real market event, but the option inputs and trade return are simplified for learning. Share issuance can pressure a stock because it increases the number of shares and can dilute existing owners.",Share issuance can pressure a stock because it increases the number of shares and can dilute existing owners.,Reuters,https://www.reuters.com/business/media-telecom/gamestop-tumbles-second-day-meme-stock-rally-fades-2024-06-10/,"Event is real; option inputs, market option price, and option return are educational simplifications rather than exact historical option-chain data.",take_or_skip_with_bank,10000,Choose how much of your bank to invest in this option.,0
25,Coinbase and Bitcoin ETFs: Buy the Rumor?,COIN,2024-01-10,Hard,Crypto / event expectations,Call,150,165,256.0,In-the-Money,2,75,4.25,9.84,"$500|$1,000|$2,000","The market expects a decision on U.S. spot bitcoin ETFs. Coinbase could benefit from crypto market attention, but the approval has been widely discussed and may already be priced into options.",You are considering a short-term call option before the ETF decision.,"Your bank starts at $10,000. Run the mini-simulator, compare its estimate with the market option price, then decide whether to take this option or skip it. If you take it, choose how much of your bank to invest.",Take the option,Skip the option,skip,"Bitcoin ETFs began trading with heavy volume, but the trade was not as simple as buying calls after a widely anticipated event.","This scenario is based on a real market event, but the option inputs and trade return are simplified for learning. When good news is widely expected, options may already price in much of the potential move.","When good news is widely expected, options may already price in much of the potential move.",Reuters,https://www.reuters.com/technology/bitcoin-etf-hopefuls-still-expect-sec-approval-despite-social-media-hack-2024-01-10/,"Event is real; option inputs, market option price, and option return are educational simplifications rather than exact historical option-chain data.",take_or_skip_with_bank,10000,Choose how much of your bank to invest in this option.,0
26,Regional Banks: SVB Contagion Fear,KRE,2023-03-10,Hard,Banking crisis / contagion,Put,55,50,41.5,In-the-Money,3,50,4.75,0.94,"$500|$1,000|$2,000",Silicon Valley Bank has been shut down by regulators after a sudden funding crisis. Investors are worried that other regional banks could face deposit pressure.,You are considering a short-term put option on a regional bank ETF.,"Your bank starts at $10,000. Run the mini-simulator, compare its estimate with the market option price, then decide whether to take this option or skip it. If you take it, choose how much of your bank to invest.",Take the option,Skip the option,take,Regional bank stocks fell sharply as investors feared contagion across the banking system.,"This scenario is based on a real market event, but the option inputs and trade return are simplified for learning. Sector ETFs can be useful when the risk affects an entire group rather than one company.",Sector ETFs can be useful when the risk affects an entire group rather than one company.,Reuters,https://www.reuters.com/business/finance/us-bank-stocks-add-losses-regulators-shutter-svb-financial-2023-03-10/,"Event is real; option inputs, market option price, and option return are educational simplifications rather than exact historical option-chain data.",take_or_skip_with_bank,10000,Choose how much of your bank to invest in this option.,0
27,JPMorgan: First Republic Deal,JPM,2023-05-01,Medium,Banking crisis / acquisition,Call,139,145,140.2,Out-of-the-Money,1,25,3.75,1.74,"$500|$1,000|$2,000",Regulators have seized First Republic and arranged a sale of most assets to JPMorgan. Investors are deciding whether JPMorgan benefits from gaining assets or faces too much banking-sector risk.,You are considering a short-term JPMorgan call option after the deal is announced.,"Your bank starts at $10,000. Run the mini-simulator, compare its estimate with the market option price, then decide whether to take this option or skip it. If you take it, choose how much of your bank to invest.",Take the option,Skip the option,take,"JPMorgan rose while regional bank pressure continued, as investors saw it as a stronger buyer of distressed assets.","This scenario is based on a real market event, but the option inputs and trade return are simplified for learning. During a crisis, stronger companies can sometimes benefit by acquiring weakened competitors.","During a crisis, stronger companies can sometimes benefit by acquiring weakened competitors.",Reuters,https://www.reuters.com/business/finance/california-financial-regulator-takes-possession-first-republic-bank-2023-05-01/,"Event is real; option inputs, market option price, and option return are educational simplifications rather than exact historical option-chain data.",take_or_skip_with_bank,10000,Choose how much of your bank to invest in this option.,0
